experiment,train_data,model,ton_weighted_f1,ton_benign_f1,f1_delta_vs_zero
zero_shot,100% CIC,XGBoost,0.6605,0.0,0.0
few_shot_10pct,100% CIC + 10% TON,XGBoost (adapted),0.9563,0.9035,0.2958
